Time ,cost/client/h ,cpuUsage ,numberOfVMs , ongoingAction, targetedNodeID
Wed Feb 12 16:51:34 UTC 2014,0.0132,45.55,8,,
Wed Feb 12 16:51:47 UTC 2014,0.0132,45.55,8,,
Wed Feb 12 16:51:59 UTC 2014,0.16,43.4,8,,
Wed Feb 12 16:52:20 UTC 2014,0.16,43.4,8,,
Wed Feb 12 16:52:38 UTC 2014,0.16,43.4,8,,
Wed Feb 12 16:52:45 UTC 2014,0.0043,47.5,8,,
Wed Feb 12 16:52:52 UTC 2014,0.0043,47.5,8,,
Wed Feb 12 16:52:59 UTC 2014,0.0019,65.95,8,,
Wed Feb 12 16:53:16 UTC 2014,0.0019,65.95,8,,
Wed Feb 12 16:53:27 UTC 2014,0.16,61.15,8,,
Wed Feb 12 16:53:43 UTC 2014,0.16,61.15,8,,
Wed Feb 12 16:53:50 UTC 2014,0.16,61.15,8,,
Wed Feb 12 16:53:58 UTC 2014,0.16,61.15,8,,
Wed Feb 12 16:54:13 UTC 2014,0.0046,58.7,8,,
Wed Feb 12 16:54:22 UTC 2014,0.0046,58.7,8,,
Wed Feb 12 16:54:39 UTC 2014,0.0023,63.7,8,,
Wed Feb 12 16:54:52 UTC 2014,0.0023,63.7,8,,
Wed Feb 12 16:55:05 UTC 2014,0.0175,68.45,8,,
Wed Feb 12 16:55:18 UTC 2014,0.0175,68.45,8,,
Wed Feb 12 16:55:26 UTC 2014,0.0175,68.45,8,,
Wed Feb 12 16:55:34 UTC 2014,0.0175,68.45,8,,
Wed Feb 12 16:55:43 UTC 2014,0.0175,68.45,8,,
Wed Feb 12 16:55:49 UTC 2014,0.0088,51.75,8,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:56:09 UTC 2014,0.0088,51.75,8,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:56:23 UTC 2014,0.12,41.8,8,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:56:34 UTC 2014,0.12,41.8,8,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:56:48 UTC 2014,0.0043,37.3,8,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:57:00 UTC 2014,0.0043,37.3,8,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:57:12 UTC 2014,0.0107,45.4,8,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:57:27 UTC 2014,0.012,45.4,9,,
Wed Feb 12 16:57:36 UTC 2014,1.08,31.1,9,,
Wed Feb 12 16:57:55 UTC 2014,1.08,31.1,9,,
Wed Feb 12 16:58:03 UTC 2014,1.08,53.4,9,,
Wed Feb 12 16:58:22 UTC 2014,1.08,53.4,9,,
Wed Feb 12 16:58:31 UTC 2014,1.08,54.2,9,,
Wed Feb 12 16:58:46 UTC 2014,1.08,54.2,9,,
Wed Feb 12 16:59:03 UTC 2014,1.08,49.15,9,,
Wed Feb 12 16:59:14 UTC 2014,1.08,49.15,9,,
