Time ,cost ,responseTime ,throughput ,activeConnections,numberOfVMs , ongoingAction,actionTarget
Wed Feb 12 16:49:26 UTC 2014,0.84,4.1667,155,0,7,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:49:37 UTC 2014,0.84,2.5,26,0,7,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:49:53 UTC 2014,0.84,2.5,26,0,7,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:50:06 UTC 2014,0.84,5.6,69,18,7,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:50:19 UTC 2014,0.84,5.6,69,18,7,,
Wed Feb 12 16:50:26 UTC 2014,0.72,2,21,0,6,,
Wed Feb 12 16:50:40 UTC 2014,0.72,2,21,0,6,,
Wed Feb 12 16:50:47 UTC 2014,0.72,2,21,0,6,,
Wed Feb 12 16:50:58 UTC 2014,0.72,2,21,0,6,,
Wed Feb 12 16:51:13 UTC 2014,0.72,2.2,51,218,6,,
Wed Feb 12 16:51:21 UTC 2014,0.72,2.2,3,73,6,,
Wed Feb 12 16:51:43 UTC 2014,0.72,2.8,66,6,6,,
Wed Feb 12 16:52:03 UTC 2014,0.72,2.8,66,6,6,,
Wed Feb 12 16:52:16 UTC 2014,0.72,2.8,66,6,6,,
Wed Feb 12 16:52:29 UTC 2014,0.72,2.8,66,6,6,,
Wed Feb 12 16:52:42 UTC 2014,0.72,7.8,167,221,6,,
Wed Feb 12 16:52:57 UTC 2014,0.72,7.8,167,221,6,,
Wed Feb 12 16:53:10 UTC 2014,0.72,8.6,405,514,6,,
Wed Feb 12 16:53:19 UTC 2014,0.72,8.6,405,514,6,,
Wed Feb 12 16:53:34 UTC 2014,0.72,8,67,6,6,,
Wed Feb 12 16:53:47 UTC 2014,0.72,8,67,6,6,,
Wed Feb 12 16:53:59 UTC 2014,0.72,8,67,6,6,,
Wed Feb 12 16:54:13 UTC 2014,0.72,8.6,162,209,6,,
Wed Feb 12 16:54:23 UTC 2014,0.72,8.6,162,209,6,,
Wed Feb 12 16:54:37 UTC 2014,0.72,7.4,306,412,6,,
Wed Feb 12 16:54:53 UTC 2014,0.72,7.4,306,412,6,,
Wed Feb 12 16:55:04 UTC 2014,0.72,7.4,306,412,6,,
Wed Feb 12 16:55:10 UTC 2014,0.72,6.4,137,55,6,,
Wed Feb 12 16:55:26 UTC 2014,0.72,6.4,137,55,6,,
Wed Feb 12 16:55:36 UTC 2014,0.72,6.4,137,55,6,,
Wed Feb 12 16:55:53 UTC 2014,0.72,5.4,31,109,6,DataNodeServiceUnit_scaleOut,
Wed Feb 12 16:56:17 UTC 2014,0.72,5.4,31,8,6,DataNodeServiceUnit_scaleOut,
Wed Feb 12 16:56:28 UTC 2014,0.72,6.4,39,8,6,DataNodeServiceUnit_scaleOut,
Wed Feb 12 16:56:44 UTC 2014,0.72,7.6,287,225,6,DataNodeServiceUnit_scaleOut,
Wed Feb 12 16:57:01 UTC 2014,0.72,7.6,287,225,6,DataNodeServiceUnit_scaleOut,
Wed Feb 12 16:57:12 UTC 2014,0.72,0,0,90,6,DataNodeServiceUnit_scaleOut,
Wed Feb 12 16:57:27 UTC 2014,0.72,0,0,90,6,,
Wed Feb 12 16:57:34 UTC 2014,0.72,0,0,90,6,,
Wed Feb 12 16:57:41 UTC 2014,0.72,0,0,90,6,,
Wed Feb 12 16:57:51 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 16:58:02 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 16:58:08 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 16:58:17 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 16:58:23 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 16:58:39 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 16:58:55 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 16:59:08 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 16:59:23 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 16:59:31 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 16:59:38 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 16:59:45 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 16:59:52 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 17:00:06 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 17:00:21 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 17:00:28 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 17:00:35 UTC 2014,0.72,0,0,0,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:00:58 UTC 2014,0.72,0,0,0,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:01:10 UTC 2014,0.72,0,0,0,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:01:25 UTC 2014,0.72,0,0,0,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:01:37 UTC 2014,0.72,0,0,0,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:01:49 UTC 2014,0.72,0,0,0,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:02:04 UTC 2014,0.72,-0.2,-1,0,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:02:15 UTC 2014,0.72,-0.2,-1,0,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:02:30 UTC 2014,0.72,5,4,49,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:02:45 UTC 2014,0.72,5,4,49,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:02:58 UTC 2014,0.72,10.75,62,66,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:03:11 UTC 2014,0.72,10.75,62,66,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:03:29 UTC 2014,0.72,10.75,62,66,6,,
Wed Feb 12 17:03:41 UTC 2014,0.6,11.5,75,109,5,,
Wed Feb 12 17:03:54 UTC 2014,0.6,11.5,75,109,5,,
Wed Feb 12 17:04:05 UTC 2014,0.6,7.5,74,140,5,,
Wed Feb 12 17:04:15 UTC 2014,0.6,7.5,74,140,5,,
Wed Feb 12 17:04:26 UTC 2014,0.6,9.5,65,108,5,,
Wed Feb 12 17:04:42 UTC 2014,0.6,8.75,147,198,5,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 17:05:05 UTC 2014,0.6,8.75,147,198,5,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 17:05:17 UTC 2014,0.6,8.75,147,198,5,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 17:05:29 UTC 2014,0.6,8.75,147,198,5,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 17:05:39 UTC 2014,0.6,8.5,179,42,5,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 17:05:57 UTC 2014,0.6,8.5,179,42,5,,
Wed Feb 12 17:06:04 UTC 2014,0.72,8,244,303,6,,
Wed Feb 12 17:06:11 UTC 2014,0.72,8,244,303,6,,
Wed Feb 12 17:06:24 UTC 2014,0.72,8,244,303,6,,
Wed Feb 12 17:06:34 UTC 2014,0.72,8,244,303,6,,
Wed Feb 12 17:06:40 UTC 2014,0.72,8,244,303,6,,
Wed Feb 12 17:06:51 UTC 2014,0.72,8.75,203,164,6,,
Wed Feb 12 17:07:06 UTC 2014,0.72,8.75,203,164,6,,
Wed Feb 12 17:07:14 UTC 2014,0.72,-0.2,-1,0,6,,
Wed Feb 12 17:07:21 UTC 2014,0.72,-0.2,-1,0,6,,
