Time ,cost ,numberOfClients ,numberOfVMs , ongoingAction, targetedNodeID
Wed Feb 12 16:47:49 UTC 2014,0.12,0,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:48:01 UTC 2014,0.12,255,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:48:14 UTC 2014,0.12,255,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:48:26 UTC 2014,0.12,255,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:48:41 UTC 2014,0.12,255,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:48:54 UTC 2014,0.12,376,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:49:05 UTC 2014,0.12,376,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:49:22 UTC 2014,0.12,0,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:49:31 UTC 2014,0.12,0,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:49:49 UTC 2014,0.12,0,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:50:00 UTC 2014,0.12,18,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:50:12 UTC 2014,0.12,18,1,,
Wed Feb 12 16:50:21 UTC 2014,0.12,18,1,,
Wed Feb 12 16:50:30 UTC 2014,0.12,0,1,,
Wed Feb 12 16:50:45 UTC 2014,0.12,0,1,,
Wed Feb 12 16:51:00 UTC 2014,0.12,0,1,,
Wed Feb 12 16:51:13 UTC 2014,0.12,218,1,,
Wed Feb 12 16:51:25 UTC 2014,0.12,73,1,,
Wed Feb 12 16:51:42 UTC 2014,0.12,73,1,,
Wed Feb 12 16:51:50 UTC 2014,0.12,6,1,,
Wed Feb 12 16:52:14 UTC 2014,0.12,6,1,,
Wed Feb 12 16:52:21 UTC 2014,0.12,6,1,,
Wed Feb 12 16:52:35 UTC 2014,0.12,6,1,,
Wed Feb 12 16:52:48 UTC 2014,0.12,221,1,,
Wed Feb 12 16:53:01 UTC 2014,0.12,514,1,,
Wed Feb 12 16:53:15 UTC 2014,0.12,514,1,,
Wed Feb 12 16:53:30 UTC 2014,0.12,6,1,,
Wed Feb 12 16:53:41 UTC 2014,0.12,6,1,,
Wed Feb 12 16:53:53 UTC 2014,0.12,6,1,,
Wed Feb 12 16:54:06 UTC 2014,0.12,6,1,,
Wed Feb 12 16:54:19 UTC 2014,0.12,209,1,,
Wed Feb 12 16:54:27 UTC 2014,0.12,412,1,,
Wed Feb 12 16:54:49 UTC 2014,0.12,412,1,,
Wed Feb 12 16:54:54 UTC 2014,0.12,412,1,,
Wed Feb 12 16:55:02 UTC 2014,0.12,55,1,,
Wed Feb 12 16:55:11 UTC 2014,0.12,55,1,,
Wed Feb 12 16:55:25 UTC 2014,0.12,55,1,,
Wed Feb 12 16:55:38 UTC 2014,0.12,55,1,,
Wed Feb 12 16:55:51 UTC 2014,0.12,109,1,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:56:05 UTC 2014,0.12,109,1,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:56:22 UTC 2014,0.12,8,1,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:56:37 UTC 2014,0.12,8,1,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:56:48 UTC 2014,0.12,225,1,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:57:02 UTC 2014,0.12,225,1,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:57:13 UTC 2014,0.12,90,1,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:57:24 UTC 2014,0.12,90,1,,
Wed Feb 12 16:57:37 UTC 2014,0.12,0,1,,
Wed Feb 12 16:57:53 UTC 2014,0.12,0,1,,
Wed Feb 12 16:58:00 UTC 2014,0.12,0,1,,
Wed Feb 12 16:58:13 UTC 2014,0.12,0,1,,
Wed Feb 12 16:58:26 UTC 2014,0.12,0,1,,
Wed Feb 12 16:58:33 UTC 2014,0.12,0,1,,
Wed Feb 12 16:58:43 UTC 2014,0.12,0,1,,
Wed Feb 12 16:58:51 UTC 2014,0.12,0,1,,
Wed Feb 12 16:58:58 UTC 2014,0.12,0,1,,
Wed Feb 12 16:59:04 UTC 2014,0.12,0,1,,
Wed Feb 12 16:59:12 UTC 2014,0.12,0,1,,
Wed Feb 12 16:59:20 UTC 2014,0.12,0,1,,
Wed Feb 12 16:59:36 UTC 2014,0.12,0,1,,
Wed Feb 12 16:59:47 UTC 2014,0.12,0,1,,
Wed Feb 12 16:59:59 UTC 2014,0.12,0,1,,
Wed Feb 12 17:00:07 UTC 2014,0.12,0,1,,
Wed Feb 12 17:00:19 UTC 2014,0.12,0,1,,
Wed Feb 12 17:00:30 UTC 2014,0.12,0,1,,
Wed Feb 12 17:00:47 UTC 2014,0.12,0,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:00:57 UTC 2014,0.12,0,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:01:08 UTC 2014,0.12,0,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:01:18 UTC 2014,0.12,0,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
