Time ,pendingRequests ,throughput ,responseTime , ongoingAction, targetedNodeID
1423144691878,55.0,35.0,777.2,EventProcessingUnit,ScaleOut,
1423144696878,40.0,42.0,988.2,EventProcessingUnit,ScaleOut,
1423144701883,54.0,32.0,789.4,EventProcessingUnit,ScaleOut,
1423144706885,51.0,35.0,861.6,EventProcessingUnit,ScaleOut,
1423144711890,41.0,41.0,907.0,EventProcessingUnit,ScaleOut,
1423144716889,57.0,32.0,770.0,EventProcessingUnit,ScaleOut,
1423144721919,40.0,42.0,963.2,EventProcessingUnit,ScaleOut,
1423144726896,47.0,32.0,888.6,EventProcessingUnit,ScaleOut,
1423144731904,52.0,38.0,799.6,EventProcessingUnit,ScaleOut,
1423144736901,39.0,44.0,898.2,EventProcessingUnit,ScaleOut,
1423144741910,57.0,29.0,754.2,EventProcessingUnit,ScaleOut,
1423144746911,43.0,42.0,945.2,EventProcessingUnit,ScaleOut,
1423144751912,46.0,36.0,896.8,EventProcessingUnit,ScaleOut,
1423144756912,67.0,19.0,716.0,EventProcessingUnit,ScaleOut,
1423144761918,41.0,48.0,881.8,EventProcessingUnit,ScaleOut,
1423144766919,48.0,37.0,803.2,EventProcessingUnit,ScaleOut,
1423144771933,53.0,34.0,849.0,EventProcessingUnit,ScaleOut,
1423144776928,39.0,48.0,858.8,EventProcessingUnit,ScaleOut,
1423144781929,56.0,33.0,743.0,EventProcessingUnit,ScaleOut,
1423144786932,42.0,47.0,910.0,EventProcessingUnit,ScaleOut,
1423144791937,46.0,39.0,828.0,EventProcessingUnit,ScaleOut,
1423144796943,55.0,34.0,793.0,EventProcessingUnit,ScaleOut,
1423144801950,37.0,48.0,938.4,EventProcessingUnit,ScaleOut,
1423144806953,54.0,33.0,746.8,EventProcessingUnit,ScaleOut,
1423144811962,50.0,38.0,844.2,EventProcessingUnit,ScaleOut,
1423144816963,42.0,44.0,840.2,EventProcessingUnit,ScaleOut,
1423144821995,57.0,26.0,716.0,EventProcessingUnit,ScaleOut,
1423144826998,41.0,45.0,938.4,
1423144832000,38.0,33.0,836.4,
1423144837009,48.0,27.0,777.0,
1423144842001,31.0,35.0,986.2,
1423144847002,46.0,26.0,772.0,
1423144852004,40.0,33.0,881.6,
1423144857002,35.0,34.0,867.4,
1423144862003,49.0,26.0,760.8,
1423144867029,32.0,36.0,986.6,
1423144872009,42.0,25.0,937.0,
1423144877009,43.0,28.0,871.4,
1423144882018,25.0,40.0,922.4,
1423144887010,44.0,26.0,767.8,
1423144892011,44.0,29.0,852.0,
1423144897019,30.0,35.0,979.0,
1423144902011,48.0,23.0,749.0,
1423144907012,37.0,36.0,917.4,
1423144912014,35.0,33.0,910.8,
1423144917014,49.0,24.0,751.8,
1423144922013,31.0,40.0,945.4,
1423144927027,62.0,108.0,992.0,
1423144932014,45.0,36.0,928.3333,
1423144937014,44.0,38.0,802.3333,
1423144942013,53.0,36.0,768.5,
1423144947029,43.0,52.0,976.5,EventProcessingUnit,ScaleOut,
1423144952021,46.0,23.0,708.0,EventProcessingUnit,ScaleOut,
1423144957023,57.0,31.0,817.5,EventProcessingUnit,ScaleOut,
1423144962038,32.0,53.0,908.8333,EventProcessingUnit,ScaleOut,
1423144967034,50.0,20.0,709.6667,EventProcessingUnit,ScaleOut,
1423144972030,41.0,43.0,1015.6667,EventProcessingUnit,ScaleOut,
1423144977025,42.0,35.0,928.6667,EventProcessingUnit,ScaleOut,
1423144982047,61.0,26.0,829.6667,EventProcessingUnit,ScaleOut,
1423144987038,29.0,53.0,984.8333,EventProcessingUnit,ScaleOut,
1423144992040,57.0,26.0,711.0,EventProcessingUnit,ScaleOut,
1423144997107,53.0,34.0,920.5,EventProcessingUnit,ScaleOut,
1423145002066,32.0,48.0,972.8333,EventProcessingUnit,ScaleOut,
1423145007057,65.0,25.0,667.8333,EventProcessingUnit,ScaleOut,
1423145012057,43.0,47.0,891.6667,EventProcessingUnit,ScaleOut,
1423145017057,40.0,46.0,804.1667,EventProcessingUnit,ScaleOut,
1423145022057,60.0,28.0,714.3333,EventProcessingUnit,ScaleOut,
1423145027057,35.0,50.0,1009.3333,EventProcessingUnit,ScaleOut,
