Time ,connectionRate ,cpuUsage ,instances ,cost , ongoingAction, targetedNodeID
1423144646832,69.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144651834,44.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144656837,27.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144661840,86.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144666842,16.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144671842,59.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144676842,55.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144681844,22.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144686855,89.0,4.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144691878,23.0,4.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144696878,47.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144701883,65.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144706885,9.0,4.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144711890,75.0,4.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144716889,38.0,4.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144721919,34.0,4.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144726896,79.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144731904,12.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144736901,65.0,7.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144741910,50.0,7.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144746911,24.0,5.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144751912,90.0,5.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144756912,40.0,4.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144761918,36.0,4.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144766919,77.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144771933,11.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
